Species,Group,Diet
Amadonastur_lacernulatus,large_bird,omnivore
Anabacerthia_amaurotis,small_bird,insectivore
Anabazenops_fuscus,small_bird,insectivore
Aramides_saracura,large_bird,omnivore
Automolus_leucophthalmus,small_bird,insectivore
Attila_phoenicurus,small_bird,insectivore
Baryphthengus_ruficapillus,medium_bird,omnivore
Bothrops_sp,reptile,omnivore
Cabassous_tatouay,mammal,insectivore
Canis_lupus_familiaris,mammal,carnivore
Celeus_flavescens,medium_bird,omnivore
Chamaeza_campanisona,small_bird,omnivore
Cerdocyon_thous,mammal,carnivore
Conopophaga_melanops,small_bird,insectivore
Crypturellus_obsoletus,large_bird,granivore/frugivore
Cuniculus_paca,mammal,frugivore
Dasypus_novemcinctus,mammal,omnivore
Dendrocolaptes_platyrostris,small_bird,insectivore
Dendroma_rufa,small_bird,insectivore
Dendrocincla_fuliginosa,small_bird,insectivore
Didelphis_aurita,mammal,omnivore
Eira_barbara,mammal,carnivore
Euphractus_sexcinctus,mammal,omnivore
Geotrygon_montana,small_bird,granivore/frugivore
Grallaria_varia,small_bird,omnivore
Guerlinguetus_brasiliensis,mammal,frugivore
Habia_rubica,small_bird,granivore/frugivore
Leopardus_guttulus,mammal,carnivore
Leopardus_pardalis,mammal,carnivore
Leopardus_wiedii,mammal,carnivore
Leptotila_rufaxilla,medium_bird,granivore/frugivore
Leptotila_verreauxi,medium_bird,granivore/frugivore
Lepus_europaeus,mammal,herbivore
Lontra_longicaudis,mammal,carnivore
Marmosops_incanus,mammal,insectivore
Mazama_sp,mammal,herbivore
Metachirus_nudicaudatus,mammal,omnivore
Micrastur_ruficollis,large_bird,omnivore
Myrmecophaga_tridactyla,mammal,insectivore
Nasua_nasua,mammal,omnivore
Odontophorus_capueira,large_bird,omnivore
Pecari_tajacu,mammal,frugivore
Penelope_obscura,large_bird,frugivore
Philydor_atricapillus,small_bird,insectivore
Platyrinchus_mystaceus,small_bird,insectivore
Pyriglena_leucoptera,small_bird,insectivore
Procyon_cancrivorus,mammal,carnivore
Puma_concolor,mammal,carnivore
Puma_yagouaroundii,mammal,carnivore
Rupornis_magnirostris,large_bird,omnivore
Salvator_merianae,reptile,omnivore
Schiffornis_virescens,small_bird,insectivore
Sclerurus_scansor,small_bird,insectivore
Sittasomus_griseicapillus,small_bird,insectivore
Speothos_venaticus,mammal,carnivore
Sus_scrofa,mammal,omnivore
Tamandua_tetradactyla,mammal,insectivore
Tapirus_terrestris,mammal,herbivore
Tayassu_pecari,mammal,frugivore
Tinamus_solitarius,large_bird,granivore/frugivore
Trichothraupis_melanops,small_bird,omnivore
Turdus_albicollis,small_bird,omnivore
Rat,mammal,omnivore
Desmodus_rotundus,mammal,carnivore
